E. Edificación y Vivienda
Mercado de la vivienda
Compra-Venta de Viviendas
Estadística registral inmobiliaria: datos anuales por distritos
4.2.1.1. Transacciones de vivienda por Distrito y Barrio según Tipo
;;2018;2018;2018;2018;2018;2019;2019;2019;2019;2019;2020;2020;2020;2020;2020;2021;2021;2021;2021;2021;2022;2022;2022;2022;2022;2023;2023;2023;2023;2023;2024;2024;2024;2024;2024
;;Total viviendas;Nuevas Total;Nuevas Libres;Nuevas VPO;Usadas;Total viviendas;Nuevas Total;Nuevas Libres;Nuevas VPO;Usadas;Total viviendas;Nuevas Total;Nuevas Libres;Nuevas VPO;Usadas;Total viviendas;Nuevas Total;Nuevas Libres;Nuevas VPO;Usadas;Total viviendas;Nuevas Total;Nuevas Libres;Nuevas VPO;Usadas;Total viviendas;Nuevas Total;Nuevas Libres;Nuevas VPO;Usadas;Total viviendas;Nuevas Total;Nuevas Libres;Nuevas VPO;Usadas
Ciudad de Madrid;Ciudad de Madrid;38.330;8.362;7.412;950;29.968;34.754;7.175;6.414;761;27.579;25.332;6.070;5.287;783;19.262;35.436;7.668;6.371;1.297;27.768;40.723;6.700;6.003;697;34.023;35.035;6.334;5.847;487;28.701;37.479;6.533;6.137;396;30.946
08. Fuencarral-El Pardo;082. Fuentelarreina;37;0;0;0;37;28;0;0;0;28;31;10;10;0;21;37;1;1;0;36;94;57;57;0;37;30;2;2;0;28;45;0;0;0;45
08. Fuencarral-El Pardo;083. Peñagrande;501;122;117;5;379;347;30;27;3;317;326;84;78;6;242;415;75;69;6;340;562;94;88;6;468;336;20;17;3;316;480;83;76;7;397
08. Fuencarral-El Pardo;084. Pilar;209;42;39;3;167;310;91;80;11;219;289;60;49;11;229;464;112;104;8;352;480;111;101;10;369;396;115;102;13;281;404;147;130;17;257
08. Fuencarral-El Pardo;085. La Paz;198;10;10;0;188;152;4;4;0;148;111;4;3;1;107;202;8;8;0;194;229;7;7;0;222;156;1;1;0;155;186;44;36;8;142
08. Fuencarral-El Pardo;086. Valverde;674;293;245;48;381;606;241;203;38;365;378;118;97;21;260;709;365;334;31;344;661;249;187;62;412;561;184;136;48;377;602;165;113;52;437
08. Fuencarral-El Pardo;087. Mirasierra;360;204;203;1;156;460;325;324;1;135;245;145;144;1;100;405;199;198;1;206;312;130;128;2;182;353;217;215;2;136;277;128;125;3;149
08. Fuencarral-El Pardo;088. El Goloso;246;198;186;12;48;171;122;105;17;49;170;128;113;15;42;157;86;54;32;71;167;103;54;49;64;177;121;76;45;56;129;61;46;15;68
09. Moncloa-Aravaca;09. Moncloa-Aravaca;1.606;472;469;3;1.134;1.023;170;165;5;853;938;207;207;0;731;1.276;252;251;1;1.024;1.186;193;191;2;993;1.075;148;147;1;927;1.327;258;256;2;1.069
09. Moncloa-Aravaca;091. Casa de Campo;119;33;31;2;86;108;17;15;2;91;88;15;15;0;73;126;23;23;0;103;130;26;26;0;104;95;15;15;0;80;121;25;24;1;96
09. Moncloa-Aravaca;092. Argüelles;361;81;81;0;280;235;54;51;3;181;189;53;53;0;136;379;167;166;1;212;359;109;107;2;250;333;88;87;1;245;357;113;112;1;244
